INE_NUM;municipio;población;total_censo;total_votantes;participación;UCD;PSOE;PCE;CDS;UN;ORT;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;110;104;55;52,88;54;1;0;0;0;0;54;1;98,18;1,82
28002;Ajalvir;893;603;522;86,57;255;106;35;38;58;3;351;144;67,24;27,59
28003;Alameda del Valle;163;141;96;68,09;58;10;1;1;17;1;76;12;79,17;12,50
28004;El Álamo;1.528;1.075;858;79,81;398;342;49;50;10;3;458;394;53,38;45,92
28005;Alcalá de Henares;110.102;68.035;47.525;69,85;13.271;18.260;8.339;1.921;1.816;1.866;17.008;28.465;35,79;59,89
28006;Alcobendas;55.869;32.217;22.713;70,5;5.835;9.992;3.600;1.104;472;603;7.411;14.195;32,63;62,50
28007;Alcorcón;119.300;74.951;54.590;72,83;16.383;23.240;8.079;2.723;1.014;1.016;20.120;32.335;36,86;59,23
28008;Aldea del Fresno;842;601;467;77,7;168;178;64;31;8;1;207;243;44,33;52,03
28009;Algete;2.960;1.785;1.427;79,94;415;566;121;141;118;15;674;702;47,23;49,19
28010;Alpedrete;2.074;1.418;1.070;75,46;333;443;155;58;39;7;430;605;40,19;56,54
28011;Ambite;344;342;213;62,28;158;15;22;2;4;1;164;38;77;17,84
28012;Anchuelo;524;379;326;86,02;185;80;18;11;5;4;201;102;61,66;31,29
28013;Aranjuez;33.973;24.418;17.676;72,39;4.439;6.301;1.796;589;1.338;2.941;6.366;11.038;36,01;62,45
28014;Arganda del Rey;19.039;11.421;9.097;79,65;2.340;3.940;1.566;317;509;110;3.166;5.616;34,8;61,73
28015;Arroyomolinos;186;141;118;83,69;62;36;7;2;1;3;65;46;55,08;38,98
28016;El Atazar;80;66;41;62,12;27;10;1;1;2;0;30;11;73,17;26,83
28017;Batres;188;132;101;76,52;23;71;7;0;0;0;23;78;22,77;77,23
28018;Becerril de la Sierra;1.360;935;745;79,68;277;245;87;88;33;1;398;333;53,42;44,70
28019;Belmonte de Tajo;1.191;929;754;81,16;312;187;109;22;113;0;447;296;59,28;39,26
28020;Berzosa del Lozoya;69;57;51;89,47;0;24;4;5;0;0;5;28;9,8;54,90
28021;El Berrueco;264;211;159;75,36;118;26;2;1;7;0;126;28;79,25;17,61
28022;Boadilla del Monte;3.385;2.076;1.633;78,66;569;413;123;261;130;16;960;552;58,79;33,80
28023;El Boalo;1.206;832;606;72,84;376;126;28;30;6;0;412;154;67,99;25,41
28024;Braojos;164;109;87;79,82;79;7;1;0;0;0;79;8;90,8;9,20
28025;Brea de Tajo;557;337;325;96,44;205;55;10;21;19;3;245;68;75,38;20,92
28026;Brunete;1.062;754;608;80,64;254;121;84;45;87;1;386;206;63,49;33,88
28027;Buitrago del Lozoya;1.038;729;516;70,78;279;141;23;31;17;4;327;168;63,37;32,56
28028;Bustarviejo;1.108;884;510;57,69;286;114;43;23;6;6;315;163;61,76;31,96
28029;Cabanillas de la Sierra;242;186;142;76,34;73;39;1;21;2;0;96;40;67,61;28,17
28030;La Cabrera;694;492;379;77,03;216;85;31;22;1;3;239;119;63,06;31,40
28031;Cadalso de los Vidrios;2.149;1.685;1.169;69,38;433;328;251;20;72;27;525;606;44,91;51,84
28032;Camarma de Esteruelas;1.161;767;666;86,83;206;123;256;24;25;6;255;385;38,29;57,81
28033;Campo Real;2.060;1.488;1.249;83,94;673;362;57;28;101;4;802;423;64,21;33,87
28034;Canencia;536;422;280;66,35;150;72;23;28;1;2;179;97;63,93;34,64
28035;Carabaña;1.034;690;687;99,57;271;235;122;11;38;1;320;358;46,58;52,11
28036;Casarrubuelos;581;397;317;79,85;157;96;17;23;6;9;186;122;58,68;38,49
28037;Cenicientos;2.417;1.875;1.214;64,75;391;657;127;16;8;2;415;786;34,18;64,74
28038;Cercedilla;3.736;2.616;2.018;77,14;787;826;52;194;124;3;1.105;881;54,76;43,66
28039;Cervera de Buitrago;130;94;63;67,02;30;15;2;5;1;3;36;20;57,14;31,75
28040;Ciempozuelos;9.758;5.568;4.290;77,05;1.073;1.685;929;119;273;33;1.465;2.647;34,15;61,70
28041;Cobeña;525;342;293;85,67;90;117;48;12;17;2;119;167;40,61;57,00
28042;Colmenar del Arroyo;488;377;271;71,88;167;51;5;13;29;1;209;57;77,12;21,03
28043;Colmenar de Oreja;5.121;3.683;2.887;78,39;1.272;922;257;176;157;8;1.605;1.187;55,59;41,12
28044;Colmenarejo;1.378;948;752;79,32;287;391;29;8;15;3;310;423;41,22;56,25
28045;Colmenar Viejo;17.123;9.956;8.642;86,8;3.118;3.606;608;540;358;116;4.016;4.330;46,47;50,10
28046;Collado Mediano;1.314;910;738;81,1;292;281;62;49;37;0;378;343;51,22;46,48
28047;Collado Villalba;13.186;7.947;5.629;70,83;2.019;2.151;699;213;190;75;2.422;2.925;43,03;51,96
28048;Corpa;399;311;274;88,1;134;42;79;2;13;3;149;124;54,38;45,26
28049;Coslada;37.268;24.335;17.535;72,06;3.079;7.426;5.083;324;168;504;3.571;13.013;20,36;74,21
28050;Cubas de la Sagra;610;416;351;84,38;185;104;7;33;10;2;228;113;64,96;32,19
28051;Chapinería;602;451;363;80,49;228;72;17;7;12;11;247;100;68,04;27,55
28052;Chinchón;4.024;2.900;2.291;79;963;377;273;118;435;4;1.516;654;66,17;28,55
28053;Daganzo de Arriba;827;585;487;83,25;157;116;100;30;78;0;265;216;54,41;44,35
28054;El Escorial;4.599;3.009;2.443;81,19;896;947;307;61;53;62;1.010;1.316;41,34;53,87
28055;Estremera;1.116;833;661;79,35;344;171;21;50;60;2;454;194;68,68;29,35
28056;Fresnedillas de la Oliva;430;337;258;76,56;175;38;6;21;3;7;199;51;77,13;19,77
28057;Fresno de Torote;94;59;35;59,32;18;8;5;2;1;0;21;13;60;37,14
28058;Fuenlabrada;28.353;16.403;10.402;63,42;2.368;4.319;1.882;263;365;327;2.996;6.528;28,8;62,76
28059;Fuente el Saz de Jarama;1.190;818;675;82,52;288;216;72;42;15;11;345;299;51,11;44,30
28060;Fuentidueña de Tajo;1.286;946;761;80,44;162;375;130;26;61;2;249;507;32,72;66,62
28061;Galapagar;5.214;3.357;2.542;75,72;1.033;1.034;159;139;112;6;1.284;1.199;50,51;47,17
28062;Garganta de los Montes;316;266;145;54,51;115;11;6;0;4;0;119;17;82,07;11,72
28063;Gargantilla del Lozoya y Pinilla de Buitrago;263;220;121;55;70;21;6;6;0;0;76;27;62,81;22,31
28064;Gascones;95;64;53;82,81;28;11;3;0;3;0;31;14;58,49;26,42
28065;Getafe;124.601;79.560;55.873;70,23;14.103;21.837;12.336;1.847;1.116;1.864;17.066;36.037;30,54;64,50
28066;Griñón;1.225;849;671;79,03;385;135;48;47;28;2;460;185;68,55;27,57
28067;Guadalix de la Sierra;1.354;1.012;881;87,06;401;319;111;19;16;2;436;432;49,49;49,04
28068;Guadarrama;4.381;2.987;2.263;75,76;1.019;832;108;119;136;18;1.274;958;56,3;42,33
28069;La Hiruela;45;45;36;80;30;6;0;0;0;0;30;6;83,33;16,67
28070;Horcajo de la Sierra-Aoslos;207;175;80;45,71;58;6;3;4;4;0;66;9;82,5;11,25
28071;Horcajuelo de la Sierra;69;65;60;92,31;7;32;15;0;0;1;7;48;11,67;80,00
28072;Hoyo de Manzanares;2.031;1.516;829;54,68;375;295;50;53;38;3;466;348;56,21;41,98
28073;Humanes de Madrid;1.780;1.125;842;74,84;352;283;67;63;22;9;437;359;51,9;42,64
