INE_NUM;municipio;población;total_censo;total_votantes;participación;PSOE;PP;UCD;PCE;CDS;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;70;64;61;95,31;6;28;25;0;0;53;6;86,89;9,84
28002;Ajalvir;965;714;601;84,17;235;236;66;13;18;320;248;53,24;41,26
28003;Alameda del Valle;153;128;109;85,16;32;54;13;2;1;68;34;62,39;31,19
28004;El Álamo;1.695;1.225;1.094;89,31;587;423;27;12;30;480;599;43,88;54,75
28005;Alcalá de Henares;137.169;84.468;73.639;87,18;43.639;15.536;1.614;4.800;2.356;19.506;48.439;26,49;65,78
28006;Alcobendas;63.731;36.391;32.025;88;18.299;8.785;1.032;1.388;1.119;10.936;19.687;34,15;61,47
28007;Alcorcón;140.957;87.056;74.417;85,48;44.668;18.966;1.367;3.248;3.199;23.532;47.916;31,62;64,39
28008;Aldea del Fresno;859;615;522;84,88;269;179;47;9;9;235;278;45,02;53,26
28009;Algete;5.076;1.600;1.388;86,75;810;357;17;66;34;408;876;29,39;63,11
28010;Alpedrete;2.420;1.701;1.416;83,25;687;457;102;72;51;610;759;43,08;53,6
28011;Ambite;350;281;254;90,39;53;139;30;13;1;170;66;66,93;25,98
28012;Anchuelo;518;381;340;89,24;158;100;48;6;13;161;164;47,35;48,24
28013;Aranjuez;35.619;25.573;21.088;82,46;12.075;5.263;522;1.346;757;6.542;13.421;31,02;63,64
28014;Arganda del Rey;22.032;13.991;12.138;86,76;6.956;3.389;261;632;167;3.817;7.588;31,45;62,51
28015;Arroyomolinos;211;152;123;80,92;56;52;6;0;3;61;56;49,59;45,53
28016;El Atazar;74;54;42;77,78;15;7;15;0;2;24;15;57,14;35,71
28017;Batres;181;139;116;83,45;82;21;1;6;4;26;88;22,41;75,86
28018;Becerril de la Sierra;1.401;963;913;94,81;405;346;59;47;22;427;452;46,77;49,51
28019;Belmonte de Tajo;1.120;903;796;88,15;387;228;63;31;30;321;418;40,33;52,51
28020;Berzosa del Lozoya;63;57;50;87,72;10;29;10;0;0;39;10;78;20
28021;El Berrueco;214;164;144;87,8;26;72;36;1;4;112;27;77,78;18,75
28022;Boadilla del Monte;6.084;3.690;3.242;87,86;1.091;1.662;157;60;174;1.993;1.151;61,47;35,5
28023;El Boalo;1.316;920;741;80,54;275;325;85;11;32;442;286;59,65;38,6
28024;Braojos;138;91;80;87,91;16;33;24;1;1;58;17;72,5;21,25
28025;Brea de Tajo;508;411;345;83,94;104;149;66;2;4;219;106;63,48;30,72
28026;Brunete;1.120;776;711;91,62;238;281;36;48;11;328;286;46,13;40,23
28027;Buitrago del Lozoya;1.151;843;680;80,66;285;268;71;10;22;361;295;53,09;43,38
28028;Bustarviejo;1.087;823;648;78,74;243;277;59;38;16;352;281;54,32;43,36
28029;Cabanillas de la Sierra;269;206;192;93,2;71;96;16;0;4;116;71;60,42;36,98
