INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;47;56;49;87,5;44;3;1;44;4;89,8;8,16
28002;Ajalvir;1817;1722;1279;74,27;747;381;93;747;474;58,41;37,06
28003;Alameda del Valle;162;165;129;78,18;76;38;5;76;43;58,91;33,33
28004;El Álamo;4028;3588;2681;74,72;1593;898;91;1593;989;59,42;36,89
28005;Alcalá de Henares;163831;133884;93746;70,02;44055;33377;10230;44055;43607;46,99;46,52
28006;Alcobendas;86146;68674;50470;73,49;26896;16733;3786;26896;20519;53,29;40,66
28007;Alcorcón;143970;130956;92557;70,68;45748;31973;8790;45748;40763;49,43;44,04
28008;Aldea del Fresno;1308;1146;877;76,53;506;288;28;506;316;57,7;36,03
28009;Algete;13476;10867;7629;70,2;4226;2407;558;4226;2965;55,39;38,86
28010;Alpedrete;5824;5520;4204;76,16;2414;1112;354;2414;1466;57,42;34,87
28011;Ambite;303;277;212;76,53;136;42;27;136;69;64,15;32,55
28012;Anchuelo;592;494;401;81,17;211;153;20;211;173;52,62;43,14
28013;Aranjuez;38680;32758;23889;72,93;11633;9283;1884;11633;11167;48,7;46,75
28014;Arganda del Rey;29767;24002;17073;71,13;8584;6592;1157;8584;7749;50,28;45,39
28015;Arroyomolinos;3017;2777;2079;74,86;1135;639;169;1135;808;54,59;38,86
28016;El Atazar;95;83;66;79,52;39;17;8;39;25;59,09;37,88
28017;Batres;730;674;508;75,37;247;181;57;247;238;48,62;46,85
28018;Becerril de la Sierra;2878;2441;1941;79,52;1149;610;113;1149;723;59,2;37,25
28019;Belmonte de Tajo;1131;947;721;76,14;305;349;38;305;387;42,3;53,68
28020;Berzosa del Lozoya;100;111;94;84,68;54;16;23;54;39;57,45;41,49
28021;El Berrueco;343;270;221;81,85;137;53;14;137;67;61,99;30,32
28022;Boadilla del Monte;18914;16053;12150;75,69;8506;2359;621;8506;2980;70,01;24,53
28023;El Boalo;2685;2371;1854;78,19;1103;506;128;1103;634;59,49;34,2
28024;Braojos;147;117;91;77,78;58;21;6;58;27;63,74;29,67
28025;Brea de Tajo;480;407;341;83,78;217;105;4;217;109;63,64;31,96
28026;Brunete;4354;3859;2714;70,33;1639;727;215;1639;942;60,39;34,71
28027;Buitrago del Lozoya;1404;1098;834;75,96;488;262;48;488;310;58,51;37,17
28028;Bustarviejo;1371;1171;893;76,26;498;233;104;498;337;55,77;37,74
28029;Cabanillas de la Sierra;432;397;320;80,6;190;94;23;190;117;59,38;36,56
28030;La Cabrera;1517;1304;1023;78,45;598;312;42;598;354;58,46;34,6
28031;Cadalso de los Vidrios;2249;1792;1439;80,3;638;708;53;638;761;44,34;52,88
28032;Camarma de Esteruelas;2235;1818;1359;74,75;646;499;147;646;646;47,53;47,53
28033;Campo Real;2555;2129;1662;78,06;957;605;56;957;661;57,58;39,77
28034;Canencia;458;383;315;82,25;195;104;5;195;109;61,9;34,6
28035;Carabaña;1005;940;790;84,04;406;294;68;406;362;51,39;45,82
28036;Casarrubuelos;668;618;483;78,16;252;129;85;252;214;52,17;44,31
28037;Cenicientos;1854;1564;1235;78,96;538;611;62;538;673;43,56;54,49
28038;Cercedilla;5328;4402;3379;76,76;1645;1269;283;1645;1552;48,68;45,93
28039;Cervera de Buitrago;96;93;70;75,27;28;33;3;28;36;40;51,43
28040;Ciempozuelos;12934;10658;6631;62,22;3132;2626;538;3132;3164;47,23;47,72
28041;Cobeña;2339;2013;1562;77,6;851;508;111;851;619;54,48;39,63
28042;Colmenar del Arroyo;853;695;498;71,65;322;127;23;322;150;64,66;30,12
28043;Colmenar de Oreja;5510;4512;3029;67,13;1545;1308;99;1545;1407;51,01;46,45
28044;Colmenarejo;3795;3176;2474;77,9;1328;799;186;1328;985;53,68;39,81
28045;Colmenar Viejo;29682;24110;17810;73,87;9233;5883;1615;9233;7498;51,84;42,1
28046;Collado Mediano;3631;3158;2435;77,11;1368;687;241;1368;928;56,18;38,11
28047;Collado Villalba;39295;31575;22381;70,88;11109;7839;1991;11109;9830;49,64;43,92
28048;Corpa;365;329;281;85,41;112;126;32;112;158;39,86;56,23
28049;Coslada;73732;59339;42905;72,3;17101;17184;5962;17101;23146;39,86;53,95
28050;Cubas de la Sagra;1397;1286;962;74,81;641;224;49;641;273;66,63;28,38
28051;Chapinería;1235;1089;822;75,48;506;227;56;506;283;61,56;34,43
28052;Chinchón;3856;3443;2572;74,7;1628;756;75;1628;831;63,3;32,31
28053;Daganzo de Arriba;3041;2801;2062;73,62;1086;670;198;1086;868;52,67;42,1
28054;El Escorial;9444;7856;5844;74,39;3243;1815;465;3243;2280;55,49;39,01
28055;Estremera;1047;837;716;85,54;369;313;15;369;328;51,54;45,81
28056;Fresnedillas de la Oliva;677;520;400;76,92;232;113;32;232;145;58;36,25
28057;Fresno de Torote;538;511;362;70,84;204;95;36;204;131;56,35;36,19
28058;Fuenlabrada;167458;131656;90600;68,82;35167;41052;8322;35167;49374;38,82;54,5
28059;Fuente el Saz de Jarama;3372;3064;2299;75,03;1330;701;153;1330;854;57,85;37,15
28060;Fuentidueña de Tajo;1432;1148;1006;87,63;323;595;67;323;662;32,11;65,81
28061;Galapagar;18995;16303;11808;72,43;6790;3456;861;6790;4317;57,5;36,56
28062;Garganta de los Montes;322;271;202;74,54;139;47;10;139;57;68,81;28,22
28063;Gargantilla del Lozoya y Pinilla de Buitrago;227;203;144;70,94;73;48;13;73;61;50,69;42,36
28064;Gascones;100;90;79;87,78;52;24;2;52;26;65,82;32,91
28065;Getafe;143629;121375;90618;74,66;35698;36679;12316;35698;48995;39,39;54,07
28066;Griñón;4083;3837;2797;72,9;1875;605;141;1875;746;67,04;26,67
28067;Guadalix de la Sierra;2646;2352;1856;78,91;936;708;131;936;839;50,43;45,2
28068;Guadarrama;8251;7484;5403;72,19;3137;1723;259;3137;1982;58,06;36,68
28069;La Hiruela;53;79;46;58,23;31;9;6;31;15;67,39;32,61
28070;Horcajo de la Sierra-Aoslos;136;147;100;68,03;75;12;6;75;18;75;18
28071;Horcajuelo de la Sierra;81;83;54;65,06;36;11;7;36;18;66,67;33,33
28072;Hoyo de Manzanares;5017;4097;3138;76,59;1999;709;213;1999;922;63,7;29,38
28073;Humanes de Madrid;8756;6642;4362;65,67;1917;1876;261;1917;2137;43,95;48,99
28074;Leganés;173163;142165;103508;72,81;40862;43095;12343;40862;55438;39,48;53,56
28075;Loeches;2838;2281;1856;81,37;931;712;133;931;845;50,16;45,53
28076;Lozoya;442;413;316;76,51;172;111;14;172;125;54,43;39,56
28078;Madarcos;26;28;19;67,86;12;5;1;12;6;63,16;31,58
28079;Madrid;2881506;2384686;1768886;74,18;974608;543402;154183;974608;697585;55,1;39,44
28080;Majadahonda;41642;33482;26435;78,95;17250;5805;1757;17250;7562;65,25;28,61
28082;Manzanares el Real;3363;2952;2213;74,97;1372;526;206;1372;732;62;33,08
28083;Meco;4689;4324;2813;65,06;1318;990;336;1318;1326;46,85;47,14
28084;Mejorada del Campo;15186;11759;7867;66,9;3333;2977;1086;3333;4063;42,37;51,65
28085;Miraflores de la Sierra;3495;2844;2229;78,38;1121;887;107;1121;994;50,29;44,59
28086;El Molar;3552;2809;1932;68,78;1114;637;86;1114;723;57,66;37,42
