INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;55;54;49;90,74;44;2;1;44;3;89,80;6,12
28002;Ajalvir;2755;2186;1730;79,14;872;675;87;872;762;50,40;44,05
28003;Alameda del Valle;195;166;136;81,93;69;53;3;69;56;50,74;41,18
28004;El Álamo;5784;4542;3606;79,39;1824;1532;113;1824;1645;50,58;45,62
28005;Alcalá de Henares;188519;139165;109562;78,73;43624;51899;7621;43624;59520;39,82;54,33
28006;Alcobendas;98417;72039;58626;81,38;26914;25714;2866;26914;28580;45,91;48,75
28007;Alcorcón;154441;131028;104019;79,39;41934;50258;6409;41934;56667;40,31;54,48
28008;Aldea del Fresno;1803;1371;1061;77,39;558;445;28;558;473;52,59;44,58
28009;Algete;16995;12281;9850;80,21;4831;4145;412;4831;4557;49,05;46,26
28010;Alpedrete;9627;7461;6091;81,64;3070;2319;380;3070;2699;50,40;44,31
28011;Ambite;323;288;245;85,07;151;61;30;151;91;61,63;37,14
28012;Anchuelo;574;513;462;90,06;229;198;12;229;210;49,57;45,45
28013;Aranjuez;41897;34325;26892;78,35;11208;13127;1536;11208;14663;41,68;54,53
28014;Arganda del Rey;36250;25484;19841;77,86;9177;8847;1131;9177;9978;46,25;50,29
28015;Arroyomolinos;6116;5055;4167;82,43;2064;1697;193;2064;1890;49,53;45,36
28016;El Atazar;101;95;75;78,95;35;24;13;35;37;46,67;49,33
28017;Batres;1244;972;798;82,10;368;322;58;368;380;46,12;47,62
28018;Becerril de la Sierra;4090;3035;2519;83,00;1337;955;139;1337;1094;53,08;43,43
28019;Belmonte de Tajo;1144;961;790;82,21;301;440;33;301;473;38,10;59,87
28020;Berzosa del Lozoya;160;143;107;74,83;35;33;36;35;69;32,71;64,49
28021;El Berrueco;463;347;277;79,83;162;86;11;162;97;58,48;35,02
28022;Boadilla del Monte;30920;23184;19743;85,16;12205;5825;695;12205;6520;61,82;33,02
28023;El Boalo;4283;3246;2670;82,26;1361;1026;144;1361;1170;50,97;43,82
28024;Braojos;190;134;111;82,84;68;30;6;68;36;61,26;32,43
28025;Brea de Tajo;467;422;352;83,41;222;122;4;222;126;63,07;35,80
28026;Brunete;6984;4980;3966;79,64;2207;1318;251;2207;1569;55,65;39,56
28027;Buitrago del Lozoya;1697;1131;936;82,76;489;370;44;489;414;52,24;44,23
28028;Bustarviejo;1649;1310;1059;80,84;477;417;118;477;535;45,04;50,52
28029;Cabanillas de la Sierra;540;446;367;82,29;192;147;13;192;160;52,32;43,60
28030;La Cabrera;2011;1475;1194;80,95;567;509;68;567;577;47,49;48,32
28031;Cadalso de los Vidrios;2451;1848;1515;81,98;699;745;43;699;788;46,14;52,01
28032;Camarma de Esteruelas;3579;3026;2408;79,58;973;1119;192;973;1311;40,41;54,44
28033;Campo Real;3310;2490;2014;80,88;1101;795;50;1101;845;54,67;41,96
28034;Canencia;482;399;323;80,95;191;117;7;191;124;59,13;38,39
28035;Carabaña;1325;1019;849;83,32;394;375;58;394;433;46,41;51,00
28036;Casarrubuelos;1460;1364;1154;84,60;484;453;170;484;623;41,94;53,99
28037;Cenicientos;1859;1539;1286;83,56;550;659;46;550;705;42,77;54,82
28038;Cercedilla;6297;4599;3781;82,21;1559;1776;267;1559;2043;41,23;54,03
28039;Cervera de Buitrago;129;121;99;81,82;46;42;5;46;47;46,46;47,47
28040;Ciempozuelos;16058;12122;8667;71,50;3323;4264;697;3323;4961;38,34;57,24
28041;Cobeña;3599;2405;2002;83,24;983;806;116;983;922;49,10;46,05
28042;Colmenar del Arroyo;1029;778;576;74,04;357;171;23;357;194;61,98;33,68
28043;Colmenar de Oreja;6257;4977;3637;73,08;1745;1653;132;1745;1785;47,98;49,08
28044;Colmenarejo;6235;4410;3690;83,67;1754;1576;202;1754;1778;47,53;48,18
28045;Colmenar Viejo;37239;26713;21462;80,34;9571;9509;1272;9571;10781;44,60;50,23
28046;Collado Mediano;5317;3616;2983;82,49;1525;1117;208;1525;1325;51,12;44,42
28047;Collado Villalba;50634;34426;27286;79,26;11732;12531;1572;11732;14103;43,00;51,69
28048;Corpa;461;389;343;88,17;132;162;37;132;199;38,48;58,02
28049;Coslada;82176;61180;50119;81,92;16409;26013;4906;16409;30919;32,74;61,69
28050;Cubas de la Sagra;2421;1963;1554;79,16;845;586;63;845;649;54,38;41,76
28051;Chapinería;1620;1239;1030;83,13;540;391;50;540;441;52,43;42,82
28052;Chinchón;4576;3592;2788;77,62;1582;1018;96;1582;1114;56,74;39,96
28053;Daganzo de Arriba;5307;4350;3628;83,40;1601;1601;232;1601;1833;44,13;50,52
28054;El Escorial;12669;9236;7378;79,88;3674;2859;448;3674;3307;49,80;44,82
28055;Estremera;1135;831;731;87,97;392;316;11;392;327;53,63;44,73
28056;Fresnedillas de la Oliva;1081;610;490;80,33;217;212;41;217;253;44,29;51,63
28057;Fresno de Torote;931;998;749;75,05;354;306;56;354;362;47,26;48,33
28058;Fuenlabrada;187963;140638;110398;78,50;33968;63676;7067;33968;70743;30,77;64,08
28059;Fuente el Saz de Jarama;5260;3677;3039;82,65;1495;1258;150;1495;1408;49,19;46,33
28060;Fuentidueña de Tajo;1517;1221;1068;87,47;312;642;95;312;737;29,21;69,01
28061;Galapagar;26857;18063;14735;81,58;7446;5776;768;7446;6544;50,53;44,41
28062;Garganta de los Montes;348;282;222;78,72;128;79;6;128;85;57,66;38,29
28063;Gargantilla del Lozoya y Pinilla de Buitrago;303;229;177;77,29;89;66;12;89;78;50,28;44,07
28064;Gascones;138;126;108;85,71;59;45;2;59;47;54,63;43,52
28065;Getafe;156315;121499;100593;82,79;33214;52783;9625;33214;62408;33,02;62,04
28066;Griñón;6594;5301;4315;81,40;2624;1333;133;2624;1466;60,81;33,97
28067;Guadalix de la Sierra;4109;3081;2534;82,25;1141;1108;183;1141;1291;45,03;50,95
28068;Guadarrama;11957;8830;6989;79,15;3732;2722;248;3732;2970;53,40;42,50
28069;La Hiruela;99;90;65;72,22;33;16;11;33;27;50,77;41,54
28070;Horcajo de la Sierra-Aoslos;147;139;99;71,22;66;22;9;66;31;66,67;31,31
28071;Horcajuelo de la Sierra;115;102;71;69,61;27;38;3;27;41;38,03;57,75
28072;Hoyo de Manzanares;6725;4639;3849;82,97;2177;1245;212;2177;1457;56,56;37,85
28073;Humanes de Madrid;11738;8703;6485;74,51;2422;3215;414;2422;3629;37,35;55,96
28074;Leganés;176900;139985;114180;81,57;37644;61123;9381;37644;70504;32,97;61,75
28075;Loeches;3729;3029;2505;82,70;1137;1094;161;1137;1255;45,39;50,10
28076;Lozoya;513;409;330;80,68;150;145;17;150;162;45,45;49,09
28078;Madarcos;33;30;24;80,00;15;5;3;15;8;62,50;33,33
28079;Madrid;3092759;2332701;1884895;80,80;893135;783797;118331;893135;902128;47,38;47,86
