INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;UPYD;IU;EQUO;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;59;61;46;75,41;38;2;0;1;2;38;5;82,61;10,87
28002;Ajalvir;3.909;2.650;2.018;76,15;1.162;454;200;110;22;1.362;586;67,49;29,04
28003;Alameda del Valle;239;196;154;78,57;67;45;12;13;5;79;63;51,30;40,91
28004;El Álamo;8.079;5.761;4.098;71,13;2.443;965;289;237;35;2.732;1.237;66,67;30,19
28005;Alcalá de Henares;204.120;132.096;100.509;76,09;46.667;28.604;11.650;8.404;1.430;58.317;38.438;58,02;38,24
28006;Alcobendas;110.080;74.552;57.439;77,05;30.216;14.051;6.475;3.664;940;36.691;18.655;63,88;32,48
28007;Alcorcón;168.299;122.890;95.200;77,47;45.333;27.001;10.158;7.614;1.540;55.491;36.155;58,29;37,98
28008;Aldea del Fresno;2.483;1.734;1.244;71,74;752;303;73;45;16;825;364;66,32;29,26
28009;Algete;20.481;13.466;10.392;77,17;5.761;2.334;1.134;682;116;6.895;3.132;66,35;30,14
28010;Alpedrete;13.163;9.309;7.304;78,46;3.898;1.464;920;599;176;4.818;2.239;65,96;30,65
28011;Ambite;556;437;318;72,77;196;56;16;33;5;212;94;66,67;29,56
28012;Anchuelo;1.083;830;654;78,80;359;191;65;27;1;424;219;64,83;33,49
28013;Aranjuez;55.054;38.227;27.886;72,95;14.449;7.778;2.206;2.132;361;16.655;10.271;59,73;36,83
28014;Arganda del Rey;53.135;31.360;23.434;74,73;12.547;5.674;2.371;1.817;230;14.918;7.721;63,66;32,95
28015;Arroyomolinos;16.207;14.491;11.562;79,79;6.315;2.343;1.582;699;160;7.897;3.202;68,30;27,69
28016;El Atazar;102;86;68;79,07;33;21;3;5;2;36;28;52,94;41,18
28017;Batres;1.488;1.120;905;80,80;491;186;99;69;23;590;278;65,19;30,72
28018;Becerril de la Sierra;5.159;3.572;2.837;79,42;1.619;601;223;242;63;1.842;906;64,93;31,94
28019;Belmonte de Tajo;1.488;1.195;901;75,40;398;312;47;106;10;445;428;49,39;47,50
28020;Berzosa del Lozoya;208;145;102;70,34;40;27;7;16;9;47;52;46,08;50,98
28021;El Berrueco;605;418;334;79,90;175;74;26;26;10;201;110;60,18;32,93
