INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;VOX;CIUDADANOS;PODEMOS;UNIDAD POPULAR (IU);suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;67;64;48;75,00;32;4;0;1;6;1;33;11;68,75;22,92
28002;Ajalvir;4.339;2.966;2.188;73,77;809;377;20;478;324;95;1.307;796;59,73;36,38
28003;Alameda del Valle;224;181;141;77,90;44;31;3;21;29;6;68;66;48,23;46,81
28004;El Álamo;8.929;6.179;4.397;71,16;1.614;854;23;813;808;156;2.450;1.818;55,72;41,35
28005;Alcalá de Henares;200.768;134.211;104.674;77,99;30.927;22.248;598;19.761;21.432;5.330;51.286;49.010;49,00;46,82
28006;Alcobendas;112.188;78.564;61.963;78,87;21.784;11.073;427;12.506;11.120;2.632;34.717;24.825;56,03;40,06
28007;Alcorcón;170.336;124.358;99.587;80,08;30.500;20.135;554;17.544;21.653;5.535;48.598;47.323;48,80;47,52
28008;Aldea del Fresno;2.528;1.768;1.293;73,13;511;244;6;197;247;50;714;541;55,22;41,84
28009;Algete;20.102;14.046;11.043;78,62;3.803;1.749;64;2.618;1.898;497;6.485;4.144;58,72;37,53
28010;Alpedrete;14.005;9.853;7.978;80,97;2.820;1.016;62;1.823;1.605;381;4.705;3.002;58,97;37,63
28011;Ambite;607;445;339;76,18;132;58;3;50;66;18;185;142;54,57;41,89
28012;Anchuelo;1.211;883;702;79,50;262;130;2;137;110;26;401;266;57,12;37,89
28013;Aranjuez;57.792;40.409;30.245;74,85;9.717;6.580;129;5.304;6.059;1.392;15.150;14.031;50,09;46,39
28014;Arganda del Rey;55.307;32.852;24.819;75,55;8.168;4.763;60;4.953;4.800;1.160;13.181;10.723;53,11;43,20
28015;Arroyomolinos;25.374;18.233;14.725;80,76;4.254;1.769;71;4.641;2.885;590;8.966;5.244;60,89;35,61
28016;El Atazar;98;80;57;71,25;19;17;1;7;7;5;27;29;47,37;50,88
28017;Batres;1.571;1.210;954;78,84;297;118;8;170;274;41;475;433;49,79;45,39
28018;Becerril de la Sierra;5.351;3.739;3.078;82,32;1.217;487;9;548;553;159;1.774;1.199;57,63;38,95
28019;Belmonte de Tajo;1.591;1.237;952;76,96;258;294;7;142;170;49;407;513;42,75;53,89
28020;Berzosa del Lozoya;189;148;99;66,89;38;11;0;6;37;4;44;52;44,44;52,53
28021;El Berrueco;634;544;387;71,14;125;42;2;53;132;14;180;188;46,51;48,58
28022;Boadilla del Monte;47.852;32.949;27.521;83,53;12.404;2.587;293;7.280;3.265;832;19.977;6.684;72,59;24,29
28023;El Boalo;6.982;4.697;3.838;81,71;1.326;490;23;785;883;209;2.134;1.582;55,60;41,22
28024;Braojos;199;152;130;85,53;61;25;1;15;13;8;77;46;59,23;35,38
28025;Brea de Tajo;568;427;331;77,52;193;67;1;17;37;7;211;111;63,75;33,53
28026;Brunete;10.188;6.237;4.911;78,74;1.858;600;39;1.109;884;242;3.006;1.726;61,21;35,15
28027;Buitrago del Lozoya;1.952;1.199;898;74,90;327;175;1;164;147;49;492;371;54,79;41,31
