INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;VOX;CIUDADANOS;PODEMOS;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;65;80;64;80,00;19;11;8;11;15;38;26;59,38;40,63
28002;Ajalvir;4.559;3.281;2.481;75,62;429;572;551;533;286;1.513;858;60,98;34,58
28003;Alameda del Valle;195;170;148;87,06;28;45;21;26;24;75;69;50,68;46,62
28004;El Álamo;9.353;6.564;4.798;73,10;857;1.230;995;913;665;2.765;1.895;57,63;39,50
28005;Alcalá de Henares;193.751;136.049;108.267;79,58;16.988;32.505;14.486;23.526;16.164;55.000;48.669;50,80;44,95
28006;Alcobendas;116.037;80.622;64.905;80,51;13.023;17.223;9.339;14.632;8.310;36.994;25.533;57,00;39,34
28007;Alcorcón;169.502;126.831;103.108;81,30;17.728;31.209;11.780;20.569;17.675;50.077;48.884;48,57;47,41
28008;Aldea del Fresno;2.698;1.961;1.477;75,32;269;367;280;269;229;818;596;55,38;40,35
28009;Algete;20.473;14.499;11.656;80,39;2.028;2.751;2.065;2.905;1.435;6.998;4.186;60,04;35,91
28010;Alpedrete;14.364;10.538;8.708;82,63;1.591;1.816;1.524;2.066;1.351;5.181;3.167;59,50;36,37
28011;Ambite;601;420;315;75,00;60;78;56;50;54;166;132;52,70;41,90
28012;Anchuelo;1.272;918;727;79,19;129;178;176;144;62;449;240;61,76;33,01
28013;Aranjuez;59.037;41.562;32.024;77,05;5.288;9.116;5.242;6.244;4.867;16.774;13.983;52,38;43,66
28014;Arganda del Rey;54.554;34.048;26.858;78,88;4.366;7.289;4.402;5.775;3.963;14.543;11.252;54,15;41,89
28015;Arroyomolinos;30.052;20.440;17.084;83,58;2.448;3.615;3.342;4.737;2.314;10.527;5.929;61,62;34,70
28016;El Atazar;93;78;62;79,49;13;14;11;9;11;33;25;53,23;40,32
28017;Batres;1.638;1.280;1.017;79,45;144;225;190;193;214;527;439;51,82;43,17
28018;Becerril de la Sierra;5.564;4.068;3.367;82,77;656;760;714;614;523;1.984;1.283;58,92;38,11
28019;Belmonte de Tajo;1.627;1.269;990;78,01;151;355;149;141;154;441;509;44,55;51,41
28020;Berzosa del Lozoya;198;169;110;65,09;26;22;8;16;37;50;59;45,45;53,64
28021;El Berrueco;741;576;387;67,19;88;84;42;60;100;190;184;49,10;47,55
28022;Boadilla del Monte;52.626;36.550;31.559;86,34;8.151;5.033;6.175;8.824;2.556;23.150;7.589;73,35;24,05
28023;El Boalo;7.399;5.090;4.252;83,54;697;892;791;924;798;2.412;1.690;56,73;39,75
28024;Braojos;205;168;146;86,90;44;21;33;22;24;99;45;67,81;30,82
28025;Brea de Tajo;525;404;314;77,72;129;65;48;29;28;206;93;65,61;29,62
28026;Brunete;10.596;6.703;5.422;80,89;1.100;1.035;1.065;1.203;815;3.368;1.850;62,12;34,12
28027;Buitrago del Lozoya;1.875;1.200;920;76,67;188;277;140;159;121;487;398;52,93;43,26
28028;Bustarviejo;2.486;1.820;1.493;82,03;245;351;188;198;459;631;810;42,26;54,25
28029;Cabanillas de la Sierra;712;562;459;81,67;97;94;81;77;91;255;185;55,56;40,31
28030;La Cabrera;2.613;1.818;1.438;79,10;265;338;212;237;300;714;638;49,65;44,37
28031;Cadalso de los Vidrios;3.049;2.139;1.642;76,76;395;553;286;212;143;893;696;54,38;42,39
28032;Camarma de Esteruelas;7.226;5.042;4.039;80,11;563;1.047;742;991;512;2.296;1.559;56,85;38,60
28033;Campo Real;6.075;4.082;3.172;77,71;650;691;650;698;364;1.998;1.055;62,99;33,26
28034;Canencia;423;370;284;76,76;75;68;51;45;40;171;108;60,21;38,03
28035;Carabaña;1.905;1.394;1.057;75,82;214;308;156;178;163;548;471;51,84;44,56
