INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;VOX;SUMAR;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;62;63;54;85,71;21;15;6;11;27;26;50;48,15
28002;Ajalvir;4751;3378;2354;69,69;958;497;525;290;1483;787;63;33,43
28003;Alameda del Valle;241;192;164;85,42;70;40;23;23;93;63;56,71;38,41
28004;El Álamo;10123;7091;4843;68,3;1861;1265;1067;509;2928;1774;60,46;36,63
28005;Alcalá de Henares;196888;138438;102056;73,72;37827;31895;14747;14346;52574;46241;51,51;45,31
28006;Alcobendas;117041;81471;60789;74,61;27237;16243;8606;7042;35843;23285;58,96;38,3
28007;Alcorcón;170296;128057;96071;75,02;35992;30369;11427;15335;47419;45704;49,36;47,57
28008;Aldea del Fresno;3227;2322;1585;68,26;601;417;331;195;932;612;58,8;38,61
28009;Algete;20767;14805;11209;75,71;4846;2735;2090;1209;6936;3944;61,88;35,19
28010;Alpedrete;15006;11316;8772;77,52;3745;1915;1501;1342;5246;3257;59,8;37,13
28011;Ambite;648;469;347;73,99;124;83;77;52;201;135;57,93;38,9
28012;Anchuelo;1354;949;716;75,45;283;168;168;73;451;241;62,99;33,66
28013;Aranjuez;59762;42205;30075;71,26;10909;8969;5208;4101;16117;13070;53,59;43,46
28014;Arganda del Rey;57553;36580;26869;73,45;10365;7514;4810;3364;15175;10878;56,48;40,49
28015;Arroyomolinos;34833;24207;18698;77,24;7925;4090;3850;2254;11775;6344;62,97;33,93
28016;El Atazar;107;92;65;70,65;13;26;10;13;23;39;35,38;60
28017;Batres;1823;1430;1098;76,78;415;252;238;169;653;421;59,47;38,34
28018;Becerril de la Sierra;6197;4586;3536;77,1;1478;836;639;500;2117;1336;59,87;37,78
28019;Belmonte de Tajo;1769;1397;1059;75,81;324;345;193;155;517;500;48,82;47,21
28020;Berzosa del Lozoya;227;179;114;63,69;37;32;9;32;46;64;40,35;56,14
28021;El Berrueco;801;621;434;69,89;153;103;55;107;208;210;47,93;48,39
28022;Boadilla del Monte;62627;44528;36723;82,47;21178;5310;6669;2714;27847;8024;75,83;21,85
28023;El Boalo;8216;5929;4699;79,25;1812;980;793;988;2605;1968;55,44;41,88
28024;Braojos;218;178;152;85,39;69;28;27;21;96;49;63,16;32,24
28025;Brea de Tajo;541;431;320;74,25;164;56;71;25;235;81;73,44;25,31
28026;Brunete;10845;7154;5405;75,55;2415;1079;1064;701;3479;1780;64,37;32,93
