NATLEVNAME;INE_NUM;part_num;derecha_num;izquierda_num;densidad_2023;clase_densidad;dist_madrid_km;corona_madrid;renta_2023;Renta_2023_Final_ €;clase_renta
Municipio;28112;81,76;46,76;50;778.357.562.070.629;Muy baja;536.806.684.494.914;40-60 km;18175;18175;Media
Municipio;28113;74,2;48,44;48;872.048.300.168.545;Intermedia;242.774.586.719.933;20-40 km;15301;15301;Baja
Municipio;28114;80;63,79;34;100.819.984.279.248;Muy baja;631.393.061.079.756;>60 km;15504;15504;Baja
Municipio;28115;81,89;76,05;22;203.575.774.100.998;Urbana;107.521.461.653.129;0-20 km;30524;30524;Muy alta
Municipio;28116;73,89;60,42;36;380.784.501.384.771;Muy baja;348.530.605.304.237;20-40 km;13316;13316;Muy baja
Municipio;28117;87,29;46,6;50;652.805.860.512.148;Muy baja;656.674.810.705.466;>60 km;18613;18613;Media
Municipio;28118;82,95;46,58;48;148.119.835.556.563;Muy baja;632.190.663.702.413;>60 km;16893;16893;Baja
Municipio;28119;76,08;63,29;34;143.653.921.438.792;Baja;313.276.768.783.442;20-40 km;14615;14615;Baja
Municipio;28120;79,29;57,33;40;116.264.919.432.466;Muy baja;473.300.328.699.113;40-60 km;16346;16346;Baja
Municipio;28121;78,3;55,98;39;228.479.212.266.108;Muy baja;399.009.037.606.707;20-40 km;16341;16341;Baja
Municipio;28122;73,98;54,45;41;270.678.182.809.966;Muy baja;325.805.715.485.612;20-40 km;15798;15798;Baja
Municipio;28123;79,02;43,59;53;142.328.735.819.794;Urbana;199.321.214.155.484;0-20 km;18478;18478;Media
Municipio;28124;75,58;44,62;52;542.036.455.194.224;Muy baja;556.423.467.759.602;40-60 km;16345;16345;Baja
Municipio;28125;72,94;61,54;35;486.787.138.079.077;Muy baja;462.836.519.250.332;40-60 km;14986;14986;Baja
Municipio;28126;75,44;55,81;42;38.135.471.070.992;Muy baja;733.564.438.975.863;>60 km;16893;16893;Baja
Municipio;28127;80,33;71,44;26;164.071.788.086.929;Urbana;177.075.052.191.201;0-20 km;24183;24183;Alta
Municipio;28128;74,1;59,08;39;195.281.497.280.327;Muy baja;718.203.202.395.696;>60 km;13987;13987;Muy baja
Municipio;28129;75,39;61,62;35;355.571.070.526.908;Intermedia;250.793.748.991.835;20-40 km;19468;19468;Media
Municipio;28130;75,66;43;53;100.085.071.142.244;Urbana;182.390.094.180.825;0-20 km;14948;14948;Baja
Municipio;28131;73,08;57,43;39;326.666.714.514.191;Intermedia;404.947.903.930.574;40-60 km;17163;17163;Media
Municipio;28132;70,27;51,94;44;189.477.029.118.114;Baja;272.072.900.874.421;20-40 km;12720;12720;Muy baja
Municipio;28133;71,02;56,78;40;756.604.073.309.967;Baja;579.436.896.039.625;40-60 km;12826;12826;Muy baja
Municipio;28134;75,53;54,91;42;15.371.995.481.782;Urbana;146.757.344.397.466;0-20 km;18761;18761;Media
Municipio;28135;75,31;53,82;43;197.920.245.221.908;Muy baja;48.648.216.682.958;40-60 km;13624;13624;Muy baja
Municipio;28136;82,38;60,53;36;333.168.810.262.711;Muy baja;401.097.825.989.708;40-60 km;14092;14092;Baja
Municipio;28137;72,94;57,74;39;789.402.554.839.452;Baja;377.387.832.502.765;20-40 km;13849;13849;Muy baja
Municipio;28138;84;65,08;30;195.619.465.238.707;Muy baja;637.946.413.907.716;>60 km;13668;13668;Muy baja
Municipio;28140;74,92;60,42;36;339.311.759.781.878;Intermedia;332.275.408.920.044;20-40 km;15505;15505;Baja
Municipio;28141;73,58;61,76;34;378.259.053.520.388;Intermedia;315.619.189.570.275;20-40 km;15739;15739;Baja
Municipio;28143;87,18;50;44;426.097.367.507.423;Muy baja;758.297.115.073.325;>60 km;16893;16893;Baja
Municipio;28144;78,31;59,26;38;214.358.741.541.846;Intermedia;322.736.194.026.141;20-40 km;19413;19413;Media
Municipio;28145;73,81;52,63;44;109.319.065.342.178;Baja;347.995.958.553.338;20-40 km;14271;14271;Baja
Municipio;28146;71,25;57;41;104.617.483.845.649;Baja;422.636.523.641.541;40-60 km;12425;12425;Muy baja
Municipio;28147;71,27;57,62;40;131.937.884.921.255;Baja;372.972.297.713.491;20-40 km;13487;13487;Muy baja
Municipio;28148;72,38;52,42;44;415.914.519.083.506;Urbana;200.132.572.700.433;20-40 km;14463;14463;Baja
Municipio;28149;75,46;58,45;38;110.851.207.238.739;Urbana;303.810.459.241.617;20-40 km;15061;15061;Baja
Municipio;28150;78,38;62,81;34;897.535.829.063.353;Baja;325.774.213.354.456;20-40 km;14286;14286;Baja
Municipio;28151;72,6;53,58;43;114.648.037.890.655;Baja;416.152.987.231.059;40-60 km;14444;14444;Baja
Municipio;28152;80,52;69,89;28;114.222.643.702.779;Urbana;229.821.869.666.129;20-40 km;25127;25127;Muy alta
Municipio;28153;70,16;39,33;58;580.810.972.554.935;Baja;441.153.178.678.512;40-60 km;16924;16924;Baja
Municipio;28154;74,28;56,64;40;176.865.817.930.918;Baja;284.929.570.102.346;20-40 km;14014;14014;Baja
Municipio;28155;83,27;46,65;50;981.984.082.537.975;Muy baja;515.989.097.083.045;40-60 km;13837;13837;Muy baja
Municipio;28156;73,22;54,75;43;908.358.445.274.325;Baja;341.262.788.555.733;20-40 km;13680;13680;Muy baja
Municipio;28157;76,56;64,35;33;241.409.585.569.142;Muy baja;423.207.437.550.059;40-60 km;13311;13311;Muy baja
Municipio;28158;76,86;64,05;33;580.298.562.835.246;Baja;441.614.060.348.729;40-60 km;14905;14905;Baja
Municipio;28159;78,89;60,36;37;154.231.896.867.965;Muy baja;513.285.567.491.132;40-60 km;12322;12322;Muy baja
Municipio;28160;76,31;60,73;36;143.269.647.698.877;Baja;318.289.429.510.083;20-40 km;17550;17550;Media
Municipio;28161;73,13;58,46;38;123.220.584.935.596;Urbana;315.003.320.324.385;20-40 km;15196;15196;Baja
Municipio;28162;77,44;67,79;30;169.931.850.519.815;Baja;27.466.492.221.402;20-40 km;17819;17819;Media
Municipio;28163;79,66;48,14;48;351.252.501.478.191;Muy baja;382.502.989.371.966;20-40 km;13885;13885;Muy baja
Municipio;28164;74,56;62,09;35;13.754.988.035.038;Baja;295.052.133.663.539;20-40 km;15147;15147;Baja
